"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"13647",55765,"Green Knight Energy Center","Waste Management Inc","20183","PA","Northampton",9.9,29598,34.1289608412896
"13650",55766,"Kiefer Landfill","Sacramento County of Dpt Waste","16546","CA","Sacramento",9,69342,87.9528158295282
"13653",55769,"Madison Windpower LLC","Madison Windpower LLC","49880","NY","Madison",11.5,18523,18.386936668652
"13654",55770,"Dane County Landfill #2 Rodefeld","Dane County Public Works","4767","WI","Dane",6.4,26253,46.8268407534247
"13661",55773,"Countyside Genco LLC","Illinois Electricial Gen Partn","9205","IL","Lake",12.8,35342,31.5193350456621
"13665",55782,"Noble Ridge LLC","RENEW Energy Inc","56689","MN","Nobles",1.5,2432,18.5083713850837
"13666",55786,"Edgewood Energy LLC","Edgewood Energy LLC","56852","NY","Suffolk",100,108369,12.3708904109589
"13668",55787,"Shoreham Energy LLC","Shoreham Energy LLC","56853","NY","Suffolk",100,8151,0.930479452054795
"13670",55790,"Fenner Wind","CHI Energy Inc","34688","NY","Madison",30,53873,20.4996194824962
"13671",55795,"Woodward Mountain II","Pecos Wind II LP","14629","TX","Pecos",78,109129,15.9713441049058
"13672",55796,"Woodward Mountain I","Pecos Wind I LP","14628","TX","Pecos",82,142902,19.8939191446709
"13673",55799,"Otsego Mill Power Plant","Otsego Paper Inc","55703","MI","Allegan",21.2,123354,66.4222021194107
"13675",55801,"Marcus Hook Energy LP","Marcus Hook Energy LP","6693","PA","Delaware",836.1,4132590,56.4234959113824
"13679",55802,"Valencia Energy Facility","Valencia Power LLC","55972","NM","Valencia",159.5,101531,7.26664376404575
"13680",55803,"Somerset Windpower LLC","GlidePath Power Operations LLC","61728","PA","Somerset",9,17555,22.2666159309995
"13681",55804,"Top of Iowa Windfarm","Northern Iowa Windpower LLC","13808","IA","Worth",80,116850,16.673801369863
"13682",55805,"Mill Run Windpower LLC","GlidePath Power Operations LLC","61728","PA","Somerset",15,34107,25.9566210045662
"13683",55807,"Henrietta Peaker","MRP San Joaquin Energy LLC.","7724","CA","Kings",98,32903,3.83270431460255
"13685",55809,"Kas Brothers Windfarm","Kas Brothers Windfarm LLC","10046","MN","Pipestone",1.5,3318,25.2511415525114
"13686",55810,"Gilroy Peaking Energy Center","Calpine Gilroy Cogen LP","3028","CA","Santa Clara",135,25659,2.16971080669711
"13689",55811,"King City Peaking","Calpine Corp-King City","2865","CA","Monterey",47.3,8584,2.07168853234479
"13690",55813,"Yuba City Energy Center","Calpine Corp-Yuba City","2867","CA","Sutter",47.3,32148,7.75869558921486
